timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
1694784904824398,0.171508,0.131294,0.0143815,4000,0,-0.153605,0.148037,-10.4182,4000
1694784905853706,-0.0205063,-0.00932108,-0.00639158,4000,0,-0.179941,0.128884,-10.1692,4000
1694784906865913,0.00585895,0.000532634,-0.000798949,4000,0,-0.191912,0.154023,-10.168,4000
1694784907877823,0.00479369,-0.00079895,0.00106527,4000,0,-0.200292,0.15522,-10.0507,4000
1694784908873463,-0.000532633,-0.000266316,-0.00346211,4000,0,-0.202686,0.164797,-10.0112,4000
1694784909881767,-0.00612527,-0.0103863,0.00133157,4000,0,-0.194306,0.143249,-9.9322,4000
1694784910906136,0.00585896,-0.00878843,0.00106526,4000,0,-0.209869,0.134869,-9.92981,4000
1694784911897622,-0.00426106,-0.00532632,0.00239685,4000,0,-0.211066,0.128884,-9.93819,4000
1694784912909898,0.00133159,-0.00559264,-0.00346211,4000,0,-0.219445,0.140855,-9.95854,4000
1694784913913960,-0.01012,-0.0111853,-0.00186422,4000,0,-0.163182,0.144446,-10.1142,4000
1694784914921917,0.00133158,-0.00612527,-0.00266316,4000,0,-0.188321,0.149235,-10.0112,4000
1694784915925931,0.00426106,-0.00239684,0.00133158,4000,0,-0.17635,0.121701,-9.9346,4000
1694784916937939,0.00159789,-0.0149137,1.48917e-09,4000,0,-0.153605,0.176768,-9.92622,4000
1694784917942175,0.00292948,-0.00239684,-0.000798944,4000,0,-0.160787,0.143249,-9.89031,4000
1694784918946476,-0.00133158,-0.00106526,0.000532632,4000,0,-0.172758,0.161206,-9.86397,4000
1694784919938704,0.00639159,-0.0015979,-0.000266314,4000,0,-0.183532,0.154023,-9.87833,4000
1694784920955292,-0.000798949,-0.0066579,-0.00106526,4000,0,-0.195503,0.127687,-9.85559,4000
1694784921955993,-0.000798948,-0.00133158,-0.000266316,4000,0,-0.173956,0.168388,-9.82087,4000
1694784922996468,0.0015979,-0.00372843,-0.00372843,4000,0,-0.164379,0.10973,-9.72271,4000
1694784924011409,-0.00612527,-0.00745685,0.00266316,4000,0,-0.177547,0.110927,-9.90347,4000
1694784925017892,-0.00346211,-0.0119842,-0.00266316,4000,0,-0.178744,0.138461,-9.81728,4000
1694784926012663,-0.00292948,0.0066579,-5.13219e-09,4000,0,-0.188321,0.11811,-9.78257,4000
1694784926991673,0.00292948,0.00292948,0.000798947,4000,0,-0.17635,0.132475,-9.87115,4000
